"Name";"RA.hour";"RA.min";"RA.sec";"DECL.deg";"DECL.min";"DECL.sec";"Period";"Range";"N(obs)";"Dec.2020";"Jan.2021";"Feb.2021";"Mar.2021";"Apr.2021";"May.2021";"Jun.2021";"Jul.2021";"Aug.2021";"Sep.2021";"Oct.2021";"Nov.2021";"Dec.2021"
"Z PEG";"0";"0";"6.55";"25";"53";"11.2";"328.8";"<8.8-12.7>";77;"fading";"MIN(31)";"rising";"rising";"rising";"rising";"rising";"MAX(20)";"fading";"fading";"fading";"fading";"MIN(26)"
"W CET";"0";"2";"7.39";"-14";"40";"33";"350.6";"<9.1-14.6>";61;"rising";"rising";"MAX(17)";"fading";"fading";"fading";"fading";"fading";"MIN(23)";"rising";"rising";"rising";"rising"
"Y CAS";"0";"3";"21.44";"55";"40";"51.9";"413.8";"<10.6-14.5>";51;"fading";"fading";"fading";"MIN(25)";"rising";"rising";"rising";"rising";"rising";"MAX(6)";"fading";"fading";"fading"
"SV AND";"0";"4";"20.07";"40";"6";"35.7";"318.2";"<7.8-13.3>";131;"rising";"MAX(29)";"fading";"fading";"fading";"fading";"fading";"MIN(31)";"rising";"rising";"rising";"rising";"MAX(13)"
"V SCL";"0";"8";"37.33";"-39";"13";"5";"294.6";"<9.4-14.6>";18;"MIN(11)";"rising";"rising";"rising";"MAX(18)";"fading";"fading";"fading";"fading";"fading";"MIN(1)";"rising";"rising"
"SS CAS";"0";"9";"36.53";"51";"34";"0.9";"140.5";"<9.8-13.1>";121;"fading";"MIN(8)";"rising";"MAX(14)";"fading";"MIN(29)";"rising";"rising";"MAX(2)";"fading";"MIN(16)";"rising";"MAX(20)"
"S SCL";"0";"15";"22.27";"-32";"2";"43";"362.0";"<7.5-13.1>";64;"rising";"MAX(2)";"fading";"fading";"fading";"fading";"MIN(21)";"rising";"rising";"rising";"rising";"rising";"MAX(30)"
"X AND";"0";"16";"9.53";"47";"0";"45.2";"346.7";"<9.0-14.9>";51;"MIN(28)";"rising";"rising";"rising";"rising";"MAX(10)";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(10)"
"T AND";"0";"22";"23.15";"26";"59";"45.8";"281.6";"<8.8-13.8>";54;"rising";"MAX(22)";"fading";"fading";"fading";"fading";"MIN(16)";"rising";"rising";"rising";"MAX(31)";"fading";"fading"
"S TUC";"0";"23";"7.68";"-61";"40";"17";"243.5";"<11.3-16.2>";2;"fading";"MIN(14)";"rising";"rising";"rising";"MAX(3)";"fading";"fading";"fading";"MIN(14)";"rising";"rising";"rising"
"T CAS";"0";"23";"14.27";"55";"47";"33.2";"442.2";"<8.1-10.3>";1051;"fading";"fading";"fading";"fading";"fading";"MIN(22)";"rising";"rising";"rising";"rising";"rising";"rising";"MAX(13)"
"R AND";"0";"24";"1.94";"38";"34";"37.3";"407.7";"<6.7-14.6>";356;"fading";"fading";"fading";"fading";"fading";"fading";"MIN(27)";"rising";"rising";"rising";"rising";"rising";"MAX(3)"
"S CET";"0";"24";"3.55";"-9";"19";"40.6";"321.0";"<7.9-13.5>";48;"rising";"rising";"rising";"MAX(2)";"fading";"fading";"fading";"MIN(28)";"rising";"rising";"rising";"rising";"rising"
"T SCL";"0";"29";"12.13";"-37";"54";"30.7";"201.9";"<9.0-13.1>";42;"fading";"MIN(17)";"rising";"rising";"MAX(12)";"fading";"fading";"fading";"MIN(7)";"rising";"MAX(31)";"fading";"fading"
"T PHE";"0";"30";"26.21";"-46";"24";"33.3";"280.8";"<9.8-15.1>";21;"fading";"fading";"fading";"fading";"fading";"MIN(1)";"rising";"rising";"MAX(25)";"fading";"fading";"fading";"fading"
"Y CEP";"0";"38";"22.79";"80";"21";"25.8";"335.2";"<9.8-15.7>";61;"fading";"fading";"fading";"fading";"fading";"MIN(9)";"rising";"rising";"rising";"MAX(23)";"fading";"fading";"fading"
"U CAS";"0";"46";"21.36";"48";"14";"38.6";"279.0";"<8.5-15.0>";130;"rising";"rising";"rising";"rising";"MAX(19)";"fading";"fading";"fading";"fading";"MIN(5)";"rising";"rising";"rising"
"RW AND";"0";"47";"18.91";"32";"41";"8.8";"431.1";"<8.2-15.8>";78;"fading";"fading";"MIN(13)";"rising";"rising";"rising";"rising";"MAX(28)";"fading";"fading";"fading";"fading";"fading"
"X SCL";"0";"49";"29.51";"-34";"54";"46";"261.5";"<10.3-14.2>";18;"rising";"MAX(4)";"fading";"fading";"fading";"MIN(19)";"rising";"rising";"rising";"MAX(22)";"fading";"fading";"fading"
"V AND";"0";"50";"6.28";"35";"39";"10.1";"257.0";"<9.4-14.4>";99;"rising";"rising";"rising";"MAX(10)";"fading";"fading";"fading";"MIN(5)";"rising";"rising";"rising";"MAX(22)";"fading"
"RR AND";"0";"51";"23.32";"34";"22";"36.8";"331.4";"<9.4-15.2>";176;"fading";"fading";"fading";"fading";"MIN(23)";"rising";"rising";"rising";"rising";"MAX(28)";"fading";"fading";"fading"
"RV CAS";"0";"52";"42.79";"47";"24";"56.4";"334.7";"<9.8-14.7>";33;"rising";"rising";"rising";"MAX(22)";"fading";"fading";"fading";"fading";"fading";"MIN(16)";"rising";"rising";"rising"
"W CAS";"0";"54";"53.85";"58";"33";"49.2";"401.7";"<9.0-11.6>";866;"fading";"fading";"fading";"fading";"fading";"fading";"MIN(19)";"rising";"rising";"rising";"rising";"rising";"MAX(29)"
"U TUC";"0";"57";"13.14";"-75";"0";"0.3";"265.5";"<8.4-13.0>";6;"rising";"rising";"MAX(16)";"fading";"fading";"fading";"fading";"MIN(21)";"rising";"rising";"rising";"MAX(8)";"fading"
"Z CET";"1";"6";"45.11";"-1";"28";"53.1";"184.4";"<9.2-13.6>";63;"rising";"MAX(3)";"fading";"fading";"MIN(11)";"rising";"rising";"MAX(6)";"fading";"fading";"MIN(13)";"rising";"rising"
"U SCL";"1";"11";"36.37";"-30";"6";"28.5";"334.7";"<9.5-15.2>";19;"fading";"fading";"fading";"fading";"fading";"MIN(27)";"rising";"rising";"rising";"MAX(23)";"fading";"fading";"fading"
"U AND";"1";"15";"29.7";"40";"43";"8.4";"348.4";"<10.6-14.8>";133;"rising";"rising";"MAX(15)";"fading";"fading";"fading";"fading";"fading";"MIN(31)";"rising";"rising";"rising";"rising"
"UZ AND";"1";"16";"11.16";"41";"44";"58.3";"314.8";"<11.4-16.3>";140;"fading";"fading";"MIN(25)";"rising";"rising";"rising";"rising";"MAX(7)";"fading";"fading";"fading";"fading";"fading"
"S PSC";"1";"17";"34.54";"8";"55";"52.6";"405.7";"<9.6-14.9>";92;"fading";"fading";"fading";"fading";"MIN(20)";"rising";"rising";"rising";"rising";"rising";"MAX(1)";"fading";"fading"
"S CAS";"1";"19";"41.97";"72";"36";"40.7";"611.6";"<9.4-15.7>";597;"fading";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(23)";"rising"
"U PSC";"1";"22";"58.48";"12";"52";"3.9";"173.9";"<11.3-16.0>";163;"MAX(17)";"fading";"fading";"MIN(4)";"rising";"rising";"MAX(9)";"fading";"MIN(25)";"rising";"rising";"MAX(30)";"fading"
"RZ PER";"1";"29";"42.17";"50";"51";"24";"356.8";"<9.4-12.9>";165;"rising";"rising";"MAX(28)";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(3)";"rising";"rising";"rising"
"R PSC";"1";"30";"38.32";"2";"52";"53.7";"346.7";"<8.9-17.2>";52;"fading";"fading";"MIN(26)";"rising";"rising";"rising";"rising";"MAX(11)";"fading";"fading";"fading";"fading";"fading"
"Y AND";"1";"39";"36.9";"39";"20";"34.6";"218.7";"<8.8-14.5>";69;"rising";"MAX(18)";"fading";"fading";"fading";"MIN(15)";"rising";"rising";"MAX(25)";"fading";"fading";"fading";"MIN(20)"
